state,GEOI,D,ruca1,ruca2,tract_pop,area,popden
AL,1001,20100,1,1,"1,912",3.8,504.8
AL,1001,20200,1,1,"2,170",1.3,"1,682.50"
AL,1001,20300,1,1,"3,373",2.1,"1,633.10"
AL,1001,20400,1,1,"4,386",2.5,"1,779.80"
AL,1001,20500,1,1,"10,766",4.4,"2,446.40"
AL,1001,20600,1,1,"3,668",3.1,"1,184.50"
AL,1001,20700,1,1,"2,891",8.7,334.1
AL,1001,20801,2,2,"3,081",48,64.2
AL,1001,20802,2,2,"10,435",73.7,141.6
AL,1001,20900,2,2,"5,675",113,50.2
AL,1001,21000,2,2,"2,894",149.4,19.4
AL,1001,21100,2,2,"3,320",184.6,18
AL,1003,10100,9,9,"3,804",375.1,10.1
AL,1003,10200,8,8,"2,902",85.6,33.9
AL,1003,10300,3,3,"7,826",132.7,59
AL,1003,10400,3,3,"4,736",284.6,16.6
AL,1003,10500,7,7,"4,815",6.7,713.5
AL,1003,10600,7,7,"3,325",7.2,463.8
AL,1003,10701,1,1.1,"7,882",42,187.8
AL,1003,10703,1,1.1,"13,166",55.7,236.4
AL,1003,10704,1,1.1,"5,055",3.2,"1,558.40"
AL,1003,10705,1,1.1,"8,331",6.7,"1,235.90"
AL,1003,10800,1,1.1,"6,861",7,982.8
AL,1003,10903,1,1.1,"5,173",21.5,241
AL,1003,10904,3,3,"6,831",106.6,64.1
AL,1003,10905,3,3,"8,011",27.5,291.8
AL,1003,10906,3,3,"4,302",15.2,283
AL,1003,11000,5,5,"4,305",50.4,85.5
AL,1003,11101,1,1.1,"8,397",12.9,648.8
AL,1003,11102,2,2,"3,715",17.5,212.1
AL,1003,11201,1,1.1,"4,230",4.8,886
AL,1003,11202,1,1.1,"5,065",5.2,964.8
AL,1003,11300,2,2,"4,487",25.4,177
AL,1003,11401,5,5,"10,632",63.6,167.1
AL,1003,11403,4,4,"9,131",32.9,277.4
AL,1003,11405,1,1,"3,832",6,640.6
AL,1003,11406,4,4,"3,412",13.2,258.9
AL,1003,11407,4,4,"4,799",13,368.9
AL,1003,11408,5,5,433,10.6,41
AL,1003,11501,4,4,"5,316",14.9,356.7
AL,1003,11502,4,4,"10,534",20,525.5
AL,1003,11601,5,5,"6,062",90.6,66.9
AL,1003,11602,1,1,"4,895",31.5,155.6
AL,1003,990000,99,99,0,0,
AL,1005,950100,7,7,"3,321",187.4,17.7
AL,1005,950200,8,8,"4,264",199.6,21.4
AL,1005,950300,10,10,"1,638",136.2,12
AL,1005,950400,10,10,"4,303",132.6,32.5
AL,1005,950500,8,8,"3,467",128.8,26.9
AL,1005,950600,7,7,"2,099",39.3,53.5
AL,1005,950700,7,7,"1,727",49.1,35.2
AL,1005,950800,7,7,"2,055",5.6,363.8
AL,1005,950900,7,7,"4,583",6.3,732.6
AL,1007,10001,2,2,"2,732",91,30
AL,1007,10002,2,2,"6,025",69.7,86.4
AL,1007,10003,2,2,"5,391",267.1,20.2
AL,1007,10004,2,2,"8,767",194.8,45
AL,1009,50101,7,7.1,"7,858",83.1,94.6
AL,1009,50102,7,7.1,"7,050",71.2,99
AL,1009,50200,2,2,"3,789",45.2,83.8
AL,1009,50300,9,9,"5,269",73.2,72
AL,1009,50400,10,10,"4,451",94.8,47
AL,1009,50500,3,3,"7,329",96,76.3
AL,1009,50601,2,2,"3,922",32.4,121.2
AL,1009,50602,2,2,"8,923",70.2,127
AL,1009,50700,2,2,"8,731",78.7,111
AL,1011,952100,2,2,"1,434",165.3,8.7
AL,1011,952200,2,2,"7,102",153.9,46.2
AL,1011,952500,2,2,"2,378",303.6,7.8
AL,1013,952700,7,7,"2,439",51.7,47.2
AL,1013,952800,7,7,"1,394",1.3,"1,045.50"
AL,1013,952900,10,10.3,"2,180",22.2,98.3
AL,1013,953000,8,8,"1,469",170.5,8.6
AL,1013,953100,7,7,"3,023",12.4,243.2
AL,1013,953200,8,8,"4,327",184.8,23.4
AL,1013,953300,2,2,"1,774",136,13
AL,1013,953400,10,10,"2,931",95.9,30.6
AL,1013,953500,2,2,"1,410",102.1,13.8
AL,1015,200,1,1,"3,104",2.6,"1,182.50"
AL,1015,300,1,1,"2,951",1,"2,916.20"
AL,1015,400,1,1,"2,812",3.9,718.8
AL,1015,500,1,1,"1,814",0.9,"2,004.60"
AL,1015,600,1,1,"2,191",2.6,835.2
AL,1015,700,1,1,"2,715",17.7,153.5
AL,1015,800,1,1,"1,379",1.4,979.8
AL,1015,900,1,1,"3,362",4.7,718.7
AL,1015,1000,1,1,"5,792",6.4,899.6
AL,1015,1100,1,1,"6,565",18.8,349.5
AL,1015,1201,1,1,"3,482",2.8,"1,231.50"
AL,1015,1202,1,1,"4,318",9.1,475.5
AL,1015,1300,1,1,"2,211",2.2,983.6
AL,1015,1400,1,1,"3,731",8.2,454.7
AL,1015,1500,1,1,"5,198",21,247
AL,1015,1600,1,1,"3,791",5.5,693.7
AL,1015,1700,1,1,"6,329",7.2,877.4
AL,1015,1800,1,1,"6,919",15.9,435.7
AL,1015,2000,2,2,"7,335",92.4,79.4
AL,1015,2101,1,1,"3,992",5.3,755.3
AL,1015,2102,1,1,"3,411",8,428.1
AL,1015,2103,1,1,"6,801",9.7,697.6
AL,1015,2200,2,2,"3,652",33.9,107.6
AL,1015,2300,2,2,"3,843",34.2,112.5
AL,1015,2400,2,2,"4,518",48.1,94
AL,1015,2501,2,2,"7,069",37.5,188.3
AL,1015,2502,2,2,"4,661",63.3,73.6
AL,1015,2600,2,2,"4,615",68.3,67.6
AL,1015,981901,2,2,6,24.3,0.2
AL,1015,981902,2,2,5,34.8,0.1
AL,1015,981903,10,10,0,13.9,0
AL,1017,953800,6,6,"3,619",199.2,18.2
AL,1017,953900,4,4,"2,900",38,76.4
AL,1017,954000,2,2,"6,669",261,25.6
AL,1017,954200,5,5,"3,257",24.3,134.2
AL,1017,954300,4,4,"4,708",51.3,91.7
AL,1017,954400,4,4,995,1.7,584.6
AL,1017,954500,4,4,"3,804",2.7,"1,417.90"
AL,1017,954600,4,4,"3,411",3.7,911.9
AL,1017,954700,4,4,"4,852",14.7,330.4
AL,1019,955701,2,2,"3,332",40,83.2
AL,1019,955702,3,3,"3,872",136.5,28.4
AL,1019,955800,2,2,"5,561",90.2,61.6
AL,1019,955900,3,3,"4,235",118.9,35.6
AL,1019,956000,3,3,"4,017",24,167.3
AL,1019,956100,2,2,"4,972",144,34.5
AL,1021,60101,7,7,"5,219",21.6,241.8
AL,1021,60102,7,7,"6,303",24.9,253.4
AL,1021,60200,8,8,"2,807",38.1,73.8
AL,1021,60300,2,2,"3,808",104.9,36.3
AL,1021,60401,2,2,"5,466",35.2,155.2
AL,1021,60402,2,2,"8,776",94.4,93
AL,1021,60500,10,10,"2,902",174.2,16.7
AL,1021,60600,9,9,"3,261",100.7,32.4
AL,1021,60700,8,8,"5,101",99,51.5
AL,1023,956700,5,5,"3,184",223,14.3
AL,1023,956800,10,10,"4,423",290.6,15.2
AL,1023,956900,10,10,"3,879",223.4,17.4
