fips,cost_burdened
37001020100,36.2
37001020200,53.23
37001020301,67.61
37001020302,28.33
37001020400,39.83
37001020501,26.19
37001020502,59.36
37001020601,15.66
37001020602,28.29
37001020701,55.33
37001020702,44.76
37001020801,48.47
37001020802,44.43
37001020901,24.85
37001020902,32.12
37001021000,58.26
37001021101,31.57
37001021102,36.24
37001021201,50.26
37001021204,31.98
37001021205,52.02
37001021206,41.67
37001021207,68.27
37001021300,30.7
37001021400,18.47
37001021500,6.11
37001021600,57.36
37001021701,68.39
37001021702,74.59
37001021703,23.37
37001021801,9.09
37001021802,30.84
37001021803,27.67
37001021901,79.2
37001021902,15.92
37001022001,20
37001022002,29.68
37003040100,39.22
37003040200,6.4
37003040300,29.67
37003040400,36.86
37003040500,22.32
37003040600,28.18
37003040700,30.6
37005950100,36.95
37005950200,29.24
37005950300,35.63
37007920100,10.9
37007920200,39.09
37007920301,18.01
37007920302,100
37007920400,51.45
37007920501,34.4
37007920502,51.15
37007920600,40.28
37007980000,0
37009970200,36.5
37009970300,30.81
37009970400,27.74
37009970501,44.08
37009970502,34.69
37009970701,15.9
37009970702,0
37009970801,25.89
37009970802,18.43
37011930100,43.1
37011930200,16.2
37011930301,46.02
37011930302,19.51
37011930400,76.86
37013930101,63.08
37013930102,32.79
37013930200,30.8
37013930300,41.36
37013930400,55.54
37013930501,44.44
37013930502,33.67
37013930600,34.92
37013930700,23.08
37013930800,49.64
37013930900,31.31
37013931001,37.78
37013931002,38.15
37015960100,52.89
37015960200,44.16
37015960300,32.53
37015960401,35.28
37015960402,38.1
37017950101,26.12
37017950102,46.23
37017950200,37.18
37017950301,44.48
37017950302,54.44
37017950401,34.93
37017950402,29.71
37017950501,9.2
37017950502,27.39
37017950601,55.48
37017950602,22.81
37019020101,65.37
37019020102,43.46
37019020105,48.08
37019020106,48.27
37019020107,59.5
37019020108,66
37019020201,51.55
37019020203,38.04
37019020204,34.55
37019020205,58.03
37019020206,29.2
37019020304,23.49
37019020305,32.74
37019020306,35.46
37019020307,0
37019020308,53.16
37019020311,51.01
37019020312,0
37019020313,12.99
37019020314,0
37019020315,59.07
37019020316,0
37019020404,28.89
37019020405,44.63
37019020406,14.29
37019020407,41.3
37019020408,46.96
37019020409,10.9
37019020504,36.11
37019020505,33.42
37019020508,28.37
37019020510,37.1
37019020511,21.38
37019020512,31.58
37019020513,40.52
37019020514,72
37019020515,6.79
37019020516,67.48
37019020517,41.94
37019020518,20.22
37019020601,55.82
37019020602,36.84
37019020603,51.71
37019990100,0
37021000100,43.43
37021000200,49.15
37021000300,46.03
37021000400,60.1
37021000500,50.67
37021000600,75.4
37021000700,38.85
37021000800,59.19
37021000900,35.63
37021001000,44.63
37021001100,32.28
37021001200,50
37021001300,66.16
37021001401,68.41
37021001402,64.6
37021001500,62.57
37021001601,34.71
37021001602,63.12
37021001700,46.85
37021001801,61.9
