Geo_FILEID,state,Geo_LOGRECNO,state_fips,county_fips,tract,GEOID,tract_id,county,fips,total_pop,pop_sqmile,total_u5,total_u18,pct_u5,pct_u18,over_65,pct_over_65,med_age,med_age_m,med_age_f,total_wht,total_blk,total_asian,pct_wht,pct_blk,pct_asian,total_hispanic,pct_hispanic,no_hs,pct_no_hs,pct_unemploy,hh_single_parent,pct_hh_sf,med_hh_income,hh_ss,pct_hh_ss,med_year,med_home_value,med_gross_rent,X18_64_pov,pct_18_64_pov,X65_pov,pct_65_pov,blk_pov,pct_blk_pov,rental_units,no_car,pct_no_car,no_health_ins,pct_no_health_ins,no_internet,per_no_internet,no_computer,per_no_computer,mh,pct_mh,cost_burdened,pct_rent,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10,min_risk,moderate_risk,major_risk,sev_risk,extreme_risk
ACSSF,nc,3491,37,1,20100,14000US37001020100,201,Alamance County,37001020100,4224,2424.837,336,861,7.95,20.38,646,15.29,41.6,39.8,43.6,2868,1051,57,67.9,24.88,1.35,291,6.89,430,13.97,7.24,366,19.01,36630,542,28.16,1949,204300,619,642,23.63,109,16.87,759,72.22,1072,239,12.42,492,11.65,318,16.52,191,9.92,0,0,36.2,55.69,1932,1737,0,23,23,13,86,45,5,0,0,0.899068323,0.023809524,0.051242236,0.025879917,0
ACSSF,nc,3492,37,1,20200,14000US37001020200,202,Alamance County,37001020200,4208,3145.626,97,1106,2.31,26.28,537,12.76,32.1,26,38.6,2198,1321,8,52.23,31.39,0.19,1648,39.16,790,29.82,6.85,544,36.88,28085,470,31.86,1953,79800,759,905,35.28,110,20.68,458,35.15,789,93,6.31,877,20.88,208,14.1,87,5.9,0,0,53.23,53.49,1727,1475,0,25,30,23,134,38,2,0,0,0.854082224,0.031847134,0.090909091,0.023161552,0
ACSSF,nc,3493,37,1,20301,14000US37001020301,203.01,Alamance County,37001020301,3908,2039.081,223,963,5.71,24.64,917,23.46,43.9,37.5,51.1,1762,1097,0,45.09,28.07,0,1425,36.46,490,17.25,10.75,350,23.91,34884,511,34.9,1968,95900,847,674,34.04,95,13.12,161,15.91,843,44,3.01,715,19.5,197,13.46,101,6.9,302,16.33,67.61,57.58,1346,1129,0,8,41,17,76,37,14,7,17,0.838781575,0.03640416,0.069093611,0.037890045,0.017830609
ACSSF,nc,3494,37,1,20302,14000US37001020302,203.02,Alamance County,37001020302,3611,1480.083,321,1134,8.89,31.4,510,14.12,39.6,41.6,37.5,1942,313,0,53.78,8.67,0,2405,66.6,848,38.95,2.71,208,17.81,44464,252,21.58,1973,88700,954,264,13.42,33,6.47,0,0,233,129,11.04,988,27.38,75,6.42,79,6.76,298,24.21,28.33,19.95,1332,1176,0,14,31,20,32,23,17,10,9,0.882882883,0.033783784,0.039039039,0.03003003,0.014264264
ACSSF,nc,3495,37,1,20400,14000US37001020400,204,Alamance County,37001020400,6173,1383.266,420,1766,6.8,28.61,692,11.21,34.9,32.7,37.4,1551,3510,0,25.13,56.86,0,980,15.88,703,18.33,8.87,890,35.43,34066,629,25.04,1981,85700,767,782,21.05,84,12.14,630,17.95,1037,231,9.2,680,11.02,482,19.19,336,13.38,594,21.27,39.83,41.28,3092,2696,2,28,42,26,124,73,60,31,10,0.872574386,0.022639069,0.04851229,0.04301423,0.013260026
ACSSF,nc,3496,37,1,20501,14000US37001020501,205.01,Alamance County,37001020501,3860,1400.554,229,911,5.93,23.6,491,12.72,33.3,33.8,32.2,2896,539,62,75.03,13.96,1.61,336,8.7,310,13.26,4.41,240,18.07,55374,349,26.28,1978,160200,811,272,11.07,14,2.85,60,11.13,378,34,2.56,451,11.68,113,8.51,76,5.72,59,3.84,26.19,28.46,1868,1692,0,9,31,15,50,34,19,16,2,0.905781585,0.021413276,0.034796574,0.028372591,0.009635974
ACSSF,nc,3497,37,1,20502,14000US37001020502,205.02,Alamance County,37001020502,4341,2073.809,555,1458,12.79,33.59,359,8.27,27.6,27.9,27.6,1343,2154,117,30.94,49.62,2.7,774,17.83,581,23.84,8.41,679,44.12,33761,283,18.39,1983,128000,816,568,22.5,24,6.69,841,39.5,849,300,19.49,621,14.49,348,22.61,167,10.85,122,7.38,59.36,55.17,1583,1460,0,16,23,10,34,17,14,8,1,0.922299431,0.024636766,0.027795325,0.01958307,0.005685407
ACSSF,nc,3498,37,1,20601,14000US37001020601,206.01,Alamance County,37001020601,3234,1505.748,186,602,5.75,18.61,998,30.86,50.9,48.7,54,3088,21,31,95.49,0.65,0.96,88,2.72,34,1.37,0.79,105,7.29,91985,680,47.19,1972,264900,1060,98,6,11,1.1,0,0,83,0,0,37,1.14,119,8.26,108,7.49,0,0,15.66,5.76,1586,1408,0,17,30,11,77,33,8,2,0,0.88776797,0.0296343,0.055485498,0.025851198,0.001261034
ACSSF,nc,3499,37,1,20602,14000US37001020602,206.02,Alamance County,37001020602,2628,2442.574,0,488,0,18.57,935,35.58,48.7,37.9,59.7,2486,91,10,94.6,3.46,0.38,188,7.15,72,3.75,1.86,187,14.63,61667,689,53.91,1959,163100,890,52,4.34,51,5.78,0,0,357,21,1.64,237,9.25,171,13.38,119,9.31,10,0.73,28.29,27.93,1188,1045,0,15,19,12,66,26,4,1,0,0.87962963,0.028619529,0.065656566,0.025252525,0.000841751
ACSSF,nc,3500,37,1,20701,14000US37001020701,207.01,Alamance County,37001020701,5611,2137.318,122,773,2.17,13.78,1310,23.35,49.9,41,50.6,4527,749,31,80.68,13.35,0.55,538,9.59,436,10.15,2.69,343,13.38,57866,1056,41.19,1994,155300,941,397,11.25,190,14.88,75,10.05,714,122,4.76,257,4.61,369,14.39,208,8.11,84,3.07,55.33,27.85,1981,1811,0,18,40,28,48,23,12,1,0,0.914184755,0.029278142,0.038364462,0.017667845,0.000504796
